price;area;lat;lon
13791750;74,55;66,08062;76,66496
11888000;65,19;66,09008548;76,65170447
12386100;64,12;66,09456;76,67273
9288720;47,88;66,09368896;76,67530823
6700200;34,36;66,074629;76,595601
11088624;57,72;66,1259569;76,65249128
8659000;47,86;66,090251;76,653147
5650000;28,59;66,079052;76,66531
9600000;54,4;66,079052;76,66531
10650000;44,22;66,12213;76,66651
10385100;43,72;66,12415715;76,66478652
8072000;39,29;66,094462;76,672877
9952000;49,75;;
8950000;53,29;66,09000712;76,65117876
10130000;40,83;66,12354852;76,66418571
7804274;38,65;66,08081265;76,6681032
15010000;67,01;66,12213;76,66651
11075100;49,49;66,12415715;76,66478652
6700200;34,36;66,074629;76,595601
7080800;33,4;;
11831300;62,27;66,074629;76,595601
9108000;55,2;66,074629;76,595601
11335100;49,49;66,12213;76,66651
7654034;38,65;66,08062;76,66496
8072000;39,29;66,09456;76,67273
9568848;46,2;66,080605;76,666738
8188000;37,97;66,09456;76,67273
11831300;62,27;66,074629;76,595601
9108000;55,2;66,074629;76,595601
12106000;64,73;66,089907;76,65280954
8991900;46,34;66,095047;76,67424774
12417000;65,94;66,090251;76,653147
8280000;37,5;66,088746;76,660529
12630000;69,59;66,09000712;76,65117876
6792482;33,61;66,12579;76,65281
9648000;59,9;66,075415;76,653603
5700000;28,55;66,079052;76,66531
5900000;30,8;66,079052;76,66531
15078780;79,98;66,08081265;76,6681032
5789000;34,2;66,090251;76,653147
11475100;50,52;66,12415715;76,66478652
12388000;65,19;66,09007;76,6529
7457014;36,77;66,12579;76,65281
11505100;49,54;66,12213;76,66651
7480431;38,52;66,08081265;76,6681032
14436400;77,19;66,09428333;76,67294994
12000000;65,19;66,09428333;76,67294994
18665100;89,19;66,12415715;76,66478652
8543814;41,9;66,08081265;76,6681032
10740000;43,72;66,12354852;76,66418571
8074000;40,47;66,090251;76,653147
9108000;55,2;66,074629;76,595601
7990000;32,04;66,12354852;76,66418571
8106700;43,81;66,074629;76,595601
14607532;78,06;66,08062;76,66496
12742000;56,79;66,088746;76,660529
9691400;51,54;66,09368896;76,67530823
8622250;49,27;;
12630000;68,3;66,090251;76,653147
16038000;89,09;66,08082136;76,6669123
11690000;49,5;66,12213;76,66651
8188000;37,97;66,09456;76,67273
10910379;57,43;66,1259569;76,65249128
12481200;69,33;66,074629;76,595601
7674000;40,47;66,09007;76,6529
9995100;41,54;66,12415715;76,66478652
8106700;43,81;66,074629;76,595601
9968800;58,63;66,074629;76,595601
8718500;49,81;;
7335900;37,61;66,074629;76,595601
8533800;47,4;66,074629;76,595601
9108000;55,2;66,074629;76,595601
17168000;81,94;66,12213;76,66651
6294000;30,7;66,09008548;76,65170447
4498000;22,48;66,074629;76,595601
22507400;118,45;;
8072000;40,36;66,09428333;76,67294994
22507400;118,45;;
7442014;36,77;66,1259569;76,65249128
15922037;76,9;66,08082136;76,6669123
5650000;28,59;66,07899;76,6665
8074000;40,47;66,09010725;76,65273444
18149400;100,83;66,074629;76,595601
14958000;83,09;66,124479;76,653848
8106700;43,81;66,074629;76,595601
6740374;32,5;66,1259569;76,65249128
14514000;77;66,09007;76,6529
8106700;43,81;66,074629;76,595601
9968800;58,63;66,074629;76,595601
8072000;40,36;66,09428333;76,67294994
21938000;111,08;66,12354852;76,66418571
7990000;32,06;66,12213;76,66651
8050000;32,49;66,12354852;76,66418571
8743000;49,95;;
8188000;40,93;66,09428333;76,67294994
8599000;47,59;66,09007;76,6529
9874057;50,77;66,1259569;76,65249128
8072000;39,29;66,094462;76,672877
15696000;87,19;66,124131;76,651505
9975100;39,68;66,12415715;76,66478652
8072000;40,36;66,09428333;76,67294994
15203997;76,8;66,080605;76,666738
11831300;62,27;66,074629;76,595601
9691400;51,54;66,09368896;76,67530823
12745200;66,01;66,09456;76,67273
14259000;78,3;66,09007;76,6529
19355100;93,83;66,12213;76,66651
6700200;34,36;66,074629;76,595601
12306000;64,73;66,089907;76,65280954
9634517;46,15;66,08062;76,66496
5650000;28,59;66,07899;76,6665
8106700;43,81;66,074629;76,595601
18918000;89,19;66,12213;76,66651
15849000;65,23;66,12354852;76,66418571
9825100;40,83;66,12213;76,66651
12014000;77;66,09008548;76,65170447
10400000;53,29;66,09007;76,6529
12745200;66,01;66,094462;76,672877
19355100;93,83;66,12415715;76,66478652
10880000;69,59;66,09000712;76,65117876
9992000;49,95;;
13791750;74,55;66,08081265;76,6681032
12745200;67,08;66,09428333;76,67294994
9874057;50,77;66,12579;76,65281
8117850;41,63;66,074629;76,595601
13557600;76,4;66,09428333;76,67294994
9479384;46,22;66,08081265;76,6681032
6850000;35,61;66,07899;76,6665
15779000;65,23;66,12213;76,66651
15118582;81,23;66,08081265;76,6681032
11325100;49,5;66,12213;76,66651
11937000;53,7;66,088746;76,660529
7324200;37,56;66,074629;76,595601
11730000;50,52;66,12213;76,66651
6046000;37,29;66,08981994;76,65091054
8622250;49,27;;
12481200;69,33;66,074629;76,595601
12481200;69,33;66,074629;76,595601
8991900;46,34;66,095047;76,67424774
16719000;78,09;66,12213;76,66651
16719000;78,09;66,12354852;76,66418571
9205556;44,86;66,1259569;76,65249128
9400000;52,43;66,079052;76,66531
9380307;46,15;66,08062;76,66496
8072472;39,5;66,1259569;76,65249128
9108000;55,2;66,074629;76,595601
8117850;41,63;66,074629;76,595601
9108000;55,2;66,074629;76,595601
12306000;64,73;66,090251;76,653147
10700000;44,22;66,12354852;76,66418571
9600000;54,4;66,079052;76,66531
11977600;63,04;66,074629;76,595601
7423500;42,41;;
10072160;54,74;66,09368896;76,67530823
11831300;62,27;66,074629;76,595601
7474000;40,47;66,090251;76,653147
8188000;40,93;66,09428333;76,67294994
8259000;47,86;66,090251;76,653147
8937708;49,81;;
19458000;93,83;66,12213;76,66651
11420000;48,72;66,12213;76,66651
11979000;78,3;66,090251;76,653147
7000000;37,68;66,07899;76,6665
8991900;46,34;66,095047;76,67424774
10090000;40,83;66,12354852;76,66418571
10300000;41,54;66,12213;76,66651
17129100;78;66,12213;76,66651
7011000;34,2;66,09007;76,6529
8950000;53,29;66,09007;76,6529
9825100;40,83;66,12415715;76,66478652
8004000;36;66,088746;76,660529
8787500;47,5;66,124131;76,651505
9691400;51,54;66,09368896;76,67530823
14411000;64,87;66,12213;76,66651
10435100;43,72;66,12415715;76,66478652
13662000;59,4;66,088746;76,660529
8106700;43,81;66,074629;76,595601
19558000;93,83;66,12213;76,66651
12014000;77;66,09008548;76,65170447
12100000;80;66,09008548;76,65170447
7324200;37,56;66,074629;76,595601
8072000;40,36;66,09428333;76,67294994
8117850;41,63;66,074629;76,595601
12745200;66,01;66,094462;76,672877
10072160;54,74;66,09368896;76,67530823
10090000;40,83;66,12213;76,66651
8188000;37,97;66,094462;76,672877
17715000;118,09;;
16038000;89,09;66,080605;76,666738
8743000;49,95;;
13246610;76,56;66,074629;76,595601
12745200;67,08;66,09428333;76,67294994
17168000;81,94;66,12213;76,66651
8106700;43,81;66,074629;76,595601
9025089;44,65;66,12579;76,65281
7965000;51,09;66,09007;76,6529
9648000;59,9;66,075415;76,653603
9165556;44,86;66,1259569;76,65249128
8599000;47,59;66,089907;76,65280954
13888785;70,69;66,08082136;76,6669123
17769000;118,45;;
13246610;76,56;66,074629;76,595601
16229100;76,13;66,12213;76,66651
8117850;41,63;66,074629;76,595601
9965000;51,09;66,09000712;76,65117876
9968800;58,63;66,074629;76,595601
6700200;34,36;66,074629;76,595601
5950000;31,04;66,079052;76,66531
6100000;31,55;66,079052;76,66531
5700000;30,2;66,07899;76,6665
9568848;46,2;66,08082136;76,6669123
17884055;100,68;66,08081265;76,6681032
8634768;41,9;66,08081265;76,6681032
8106700;43,81;66,074629;76,595601
9259000;47,86;66,090251;76,653147
5950000;31,04;66,07899;76,6665
14057600;75,27;66,09456;76,67273
8991900;46,34;66,095047;76,67424774
9782208;46,22;66,08062;76,66496
17239569;95,56;66,08062;76,66496
14144000;77,69;66,090251;76,653147
12386100;64,12;66,09456;76,67273
9825100;40,83;66,12213;76,66651
13939100;60,22;66,12213;76,66651
11700000;48,84;66,12270092;76,66374171
6747482;33,61;66,12579;76,65281
8040000;32,52;66,12354852;76,66418571
15876000;88,19;66,08039023;76,66485237
12745200;67,08;66,09428333;76,67294994
17769000;118,45;;
8199000;47,59;66,090251;76,653147
9600000;54,4;66,07899;76,6665
9992500;57,09;66,1259569;76,65249128
12014000;77;66,090251;76,653147
15619100;65,23;66,12415715;76,66478652
8708000;49,75;;
9602848;45,59;66,08082136;76,6669123
7674000;40,47;66,09007;76,6529
12388000;65,19;66,09008548;76,65170447
9570000;52,95;66,07899;76,6665
9782208;46,22;66,08081265;76,6681032
9040089;44,65;66,12579;76,65281
12386100;65,19;66,09428333;76,67294994
8072000;39,29;66,09456;76,67273
6850000;35,61;66,079052;76,66531
6700200;34,36;66,074629;76,595601
7971000;41,27;66,089907;76,65280954
14436400;77,19;66,09428333;76,67294994
7985100;32,06;66,12213;76,66651
10072160;54,74;66,09368896;76,67530823
8106700;43,81;66,074629;76,595601
21410000;110,19;66,12213;76,66651
13563893;57,9;66,080605;76,666738
8106700;43,81;66,074629;76,595601
17318216;73,8;66,08081265;76,6681032
12696000;51,4;66,088746;76,660529
16500300;78,09;66,12213;76,66651
8106700;43,81;66,074629;76,595601
9108000;55,2;66,074629;76,595601
9343040;48,15;66,09368896;76,67530823
21626000;110,69;66,12415715;76,66478652
7324200;37,56;66,074629;76,595601
12483000;66,69;66,08981994;76,65091054
9150000;59,2;66,075415;76,653603
7965000;51,09;66,09008548;76,65170447
7324200;37,56;66,074629;76,595601
4498000;22,48;66,074629;76,595601
12106000;64,73;66,09007;76,6529
21415100;110,58;66,12213;76,66651
19558000;93,83;66,12354852;76,66418571
9785100;40,83;66,12415715;76,66478652
12630000;69,59;66,09000712;76,65117876
8117850;41,63;66,074629;76,595601
11888000;65,19;66,090251;76,653147
14057600;75,27;66,094462;76,672877
7011000;34,2;66,090251;76,653147
9965000;51,09;66,09000712;76,65117876
8708000;49,75;;
8188000;37,97;66,094462;76,672877
9150000;59,2;66,075415;76,653603
8106700;43,81;66,074629;76,595601
12944510;67,06;66,09428333;76,67294994
12944510;66;66,09456;76,67273
15198780;79,98;66,08062;76,66496
17309000;78;66,12213;76,66651
8824500;47,7;66,074629;76,595601
5700000;28,53;66,079052;76,66531
11335100;49,49;66,12213;76,66651
