price;area;lat;lon
9580000;54,84;56,30322;43,92668
7878978;29,89;56,27275;44,052807
10636220;57,4;56,24189638;44,0811615
12235268;47,5;56,310445;43,938326
7672830;30;56,26862407;44,03502438
9459936;41,7;56,26899033;44,03733246
7670784;33;56,27275;44,052807
8112000;41,59;56,34249;43,8757
13149999;54,95;56,30243714;44,10379162
5255640;38,2;56,30701898;43,84878948
27678000;65,9;56,322037;44,005573
6699290;37,7;56,31279053;43,88630085
15660000;93,09;56,26185201;44,01021655
10390000;35,5;56,28337137;44,03038537
12985778;64,19;56,25397;43,84863
35550000;79;56,312315;43,975068
6496000;29;56,248613;44,048243
8010000;28,98;56,30135631;44,08432405
28464743;98,19;56,3132544;43,96930895
18497780;71,25;56,284208;44,083939
8307900;45,9;56,24606868;44,04796909
10123593;54,5;56,27275;44,052807
9090000;51,9;56,219673;43,817821
8530000;38,5;56,301947;43,93416
16765619;85,66;56,28461981;44,08324076
10126500;39,25;56,284208;44,083939
11020415;64,69;56,27857;44,04323
15038800;91,69;56,342399;43,874837
20956000;84,5;56,26581118;43,97614632
13650690;91,5;56,31052757;43,93759561
19347920;66,26;56,26581118;43,97614632
21498500;58,9;56,31182985;43,9804979
7900167;33;56,26879511;44,03422363
11399999;53,43;56,29791554;43,95222999
15215350;76,8;56,31076451;43,93833547
8148280;34,79;56,27948;44,04396
9725220;58,2;56,23986577;43,83607559
7575000;37,5;56,2455639;44,04924046
6563375;48,81;56,218299;44,026776
9498500;61,9;56,248613;44,048243
27497699;86,19;56,31071876;44,00346057
7390000;32;56,326305;43,910941
6882750;41,4;56,26131336;43,93982472
8648035;53,34;56,30973766;43,89619555
10129410;47,83;56,206619;43,899036
8836787;42,04;56,305213;43,936778
9245210;39,4;56,28461;44,08362
10546250;35,75;56,22432;43,940192
41658500;143,64;56,323163;44,035586
8585200;50,79;56,24606868;44,04796909
17180000;88,69;56,34688242;43,92365884
11078725;69,8;56,26862407;44,03502438
10213753;39,7;56,3102;44,09525
9809200;54,79;56,2460166;44,05111255
5362898;38,2;56,30701898;43,84878948
7283400;36,59;56,24606868;44,04796909
16465929;70,36;56,30422;44,00771
9650000;48,75;56,246863;43,827557
9104879;46,9;56,25403985;43,84835189
5374024;39,15;56,218299;44,026776
10452500;56,5;56,30986147;44,07436398
9780473;75,08;56,30639313;43,84588019
12470000;64,44;56,301196;44,084741
8551757;38,4;56,30512043;43,93979741
8978507;23,38;56,31076451;43,93833547
10270000;59,2;56,301983;43,933465
9156000;54,5;56,24606868;44,04796909
10282351;47,41;56,206619;43,899036
11284676;67;56,26848;44,03505
8924230;52,9;56,288639;43,813403
12222869;64,72;56,30531709;43,93552226
8139600;39,9;56,34249;43,8757
9200000;44;56,26167;44,01066
13034020;55,93;56,31535466;44,07307159
11250067;68,19;56,27841;44,04228
8065112;34,2;56,27275;44,052807
39000000;311,1;56,280417;43,955573
10650500;59,5;56,34249;43,8757
8360028;42,79;56,343269;43,829027
6570400;38,2;56,31279053;43,88630085
14973200;91,3;56,34248922;43,87483452
31500000;66,43;56,32122862;44,00254607
6380000;29;56,248613;44,048243
20879080;85,56;56,31535466;44,07307159
33333453;50,18;56,312315;43,975068
6719670;37,9;56,23986577;43,83607559
12777533;57,09;56,310445;43,938326
10217200;62,29;56,34249;43,8757
8806380;36,29;56,26393551;43,86626459
8124427;34,09;56,27275;44,052807
10733076;37,61;56,30422;44,00771
15459999;57,34;56,31772789;43,9715093
7990000;37,06;56,31397;43,87803
17449999;70,65;56,30243714;44,10379162
7050330;43,4;56,326729;44,00697
11659999;46,15;56,30243714;44,10379162
7290000;36,09;56,219673;43,817821
17390000;63,59;56,28337137;44,03038537
29990000;133,89;56,331721;43,947855
9299865;38,4;56,267757;44,020746
11250090;68,4;56,27841;44,04228
9017780;38;56,26899033;44,03733246
9952580;47,61;56,31535466;44,07307159
14850000;84,9;56,26183;44,010568
5103846,62;35,29;56,192049;43,891147
20484000;56,9;56,31182985;43,9804979
5968404;23,39;56,27275;44,052807
14970000;81,09;56,34688242;43,92365884
7990000;50,9;56,21925;43,8199
7078800;34,7;56,24606868;44,04796909
7980000;39,9;56,34249;43,8757
6338800;29,89;56,2455639;44,04924046
13150158;65;56,25403985;43,84835189
9548289;46,7;56,25403985;43,84835189
7385400;37,29;56,24606868;44,04796909
12729300;84,3;56,24532346;44,05083637
17480320;84,04;56,284208;44,083939
19599000;109,69;56,34738;43,923997
6590000;34,29;56,21925;43,8199
15197000;91;56,342399;43,874837
12178500;43,29;56,346553;43,929761
65650000;101;56,322604;43,98837
8642180;52,59;56,3655588;43,81770045
7230600;30,89;56,24626431;44,04936652
8918951;34,99;56,264368;43,865569
12479999;48,29;56,30243714;44,10379162
9908427;54,5;56,26879511;44,03422363
8115809;39,4;56,27856341;44,04353498
8714065;25,15;56,303911;44,000426
5739500;32,5;56,24104802;44,08181596
21126663;85,69;56,31643526;44,04015241
8550000;38,4;56,301947;43,93416
8549480;34,29;56,267757;44,020746
8720000;43,09;56,301947;43,93416
21417500;65,9;56,320026;43,977679
19441440;60,95;56,31575;44,07297
25497260;70,19;56,31575;44,07297
9340111;45;56,25423;43,848433
49096320;109,58;56,312848;43,97616
14886281;52,09;56,314057;43,969599
7890000;53,9;56,21896442;43,8191828
11990000;65,19;56,34688242;43,92365884
8767464;44,75;56,34267441;43,83190266
11327800;41;56,317093;44,064431
6097000;32,5;56,23986577;43,83607559
7263500;36,5;56,24606868;44,04796909
7672830;30;56,26862407;44,03502438
14074917;83,4;56,267757;44,020746
8484000;42;56,342399;43,874837
9201567;41,7;56,30531709;43,93552226
13169999;48,79;56,317538;43,972031
20673510;87,23;56,26581118;43,97614632
9474000;57,15;56,30292088;43,92679077
7050330;43,4;56,326729;44,00697
15315000;85,59;56,34634;43,92332
8054670;32,5;56,27275;44,052807
7801698;30,7;56,26879511;44,03422363
12816100;67,09;56,342399;43,874837
8891290;36,65;56,26393551;43,86626459
14846913;51,79;56,314057;43,969599
10238400;64,8;56,20586328;43,81749283
9990000;43,38;56,30135631;44,08432405
25240000;53,31;56,321079;44,002594
5490540;19,79;56,26386;43,86687
9060000;37,75;56,26393551;43,86626459
15050000;81,09;56,34738;43,923997
11972774;69;56,31076451;43,93833547
9827048;75,68;56,30639313;43,84588019
16326100;70,25;56,30433573;44,0063724
12834900;65,81;56,284208;44,083939
9146340;54,9;56,31279053;43,88630085
13020000;72,3;56,34688242;43,92365884
14138635;83,4;56,267757;44,020746
10063600;36,2;56,26581118;43,97614632
6583500;38,5;56,23986577;43,83607559
7015770;41,09;56,288639;43,813403
9135830;52,9;56,31279053;43,88630085
9403619;44,09;56,30512043;43,93979741
5486000;21,1;56,24606868;44,04796909
13691476;76,66;56,28461;44,08362
17160524;85,61;56,28461981;44,08324076
12131900;53,79;56,259928;43,978821
8827250;52,7;56,24178286;44,08224511
9999206;53,2;56,27948;44,04396
7762893;30,79;56,27275;44,052807
19819999;67,29;56,317538;43,972031
40877231;96,19;56,32262756;43,98838833
10763000;61,86;56,302004;43,925036
12162600;69,9;56,24626431;44,04936652
8190000;53,79;56,21896442;43,8191828
7028140;28;56,27839032;44,04282151
4828374,95;33,79;56,192049;43,891147
14270259;74,5;56,25403985;43,84835189
5117645;20,75;56,206619;43,899036
7890000;31;56,34634;43,92332
12765356;50,7;56,30433573;44,0063724
5443800;21,1;56,24606868;44,04796909
7620000;38,09;56,24626431;44,04936652
7373767;27,5;56,267757;44,020746
25265244;66,8;56,31203;43,98025
8050000;40,25;56,31397;43,87803
16958000;69,5;56,31535466;44,07307159
7691200;36,79;56,24626431;44,04936652
5851811;39,15;56,218299;44,026776
12974420;65,8;56,284208;44,083939
9371850;43,59;56,353144;43,825892
10370400;59,59;56,248613;44,048243
7718070;59,83;56,30701898;43,84878948
8190000;38,9;56,301947;43,93416
20657520;88,27;56,26581118;43,97614632
12290000;65,19;56,34738;43,923997
16410050;69,75;56,31535466;44,07307159
9080000;44,59;56,34688242;43,92365884
13420000;75,55;56,30135631;44,08432405
6972350;38,5;56,34288029;43,84374421
34080000;56,79;56,323563;44,01929
9657720;57,9;56,206879;43,878404
9565758;55,5;56,27841;44,04228
10860000;55,9;56,34738;43,923997
7115500;42,79;56,26131336;43,93982472
8322309;30,7;56,27275;44,052807
6841176;29,6;56,34267441;43,83190266
9547669;46;56,25423;43,848433
15039999;62,22;56,30219;44,10283
7263500;37,79;56,248613;44,048243
7215250;43,4;56,26131336;43,93982472
11578685;57,66;56,34267441;43,83190266
8307351;37,86;56,30531709;43,93552226
8190000;53,79;56,21925;43,8199
34045418;97,09;56,31203;43,98025
15060000;81,8;56,34634;43,92332
23935450;62,16;56,312315;43,975068
9197471;75,08;56,30701898;43,84878948
9979000;59,9;56,248613;44,048243
17620537;91;56,31076451;43,93833547
7654400;36,79;56,2455639;44,04924046
33123000;108,59;56,31055055;43,98939101
18611300;47,29;56,313696;43,986405
6990000;36,29;56,21896442;43,8191828
13290973;57,5;56,31076451;43,93833547
8221200;40,29;56,34249;43,8757
9848400;57,7;56,248613;44,048243
7732800;37;56,248613;44,048243
20973748;79,79;56,30243714;44,10379162
6699290;37,7;56,288639;43,813403
34267200;94,4;56,31182985;43,9804979
10577239;65,23;56,309039;43,895814
15890000;62;56,28337137;44,03038537
15006820;76,8;56,31076451;43,93833547
6605600;36,79;56,23986577;43,83607559
19740000;114,77;56,30117;44,08461
7956000;40,79;56,34248922;43,87483452
22815000;84,5;56,26581118;43,97614632
8860000;39;56,26183;44,010568
11390000;73,69;56,21925;43,8199
11038418;59,9;56,30973766;43,89619555
10617600;55,29;56,35168;43,87031
7020180;38,7;56,34288029;43,84374421
10421794;36,68;56,2847511;44,08343388
8053000;40,97;56,302004;43,925036
15382404;53,59;56,314057;43,969599
24624000;68,4;56,31182985;43,9804979
9920300;58,7;56,2455639;44,04924046
7926500;41,5;56,34248922;43,87483452
8119200;40,79;56,342399;43,874837
8860000;35,2;56,34634;43,92332
21229999;86,33;56,30243714;44,10379162
5984000;35,2;56,20586328;43,81749283
8831793,12;52,56;56,30947;43,89597
33512000;94,4;56,31182985;43,9804979
9572500;54,7;56,24626431;44,04936652
7720000;32,4;56,34738;43,923997
7222916;57,13;56,30701898;43,84878948
11049790;67,69;56,27856341;44,04353498
10595200;60,2;56,2460166;44,05111255
8450000;35,2;56,26167;44,01066
14065800;73,5;56,310445;43,938326
6090000;23,6;56,326305;43,910941
7870212;31,5;56,26862407;44,03502438
7320000;37,9;56,248613;44,048243
8890000;51,7;56,219673;43,817821
9060000;43,29;56,34688242;43,92365884
8908000;52,4;56,21162;43,83161
23045624;72,91;56,30219;44,10283
7670784;33;56,27275;44,052807
9067617;40,79;56,28461;44,08362
6924150;41,4;56,326729;44,00697
8960000;39;56,26185201;44,01021655
5240115;34,84;56,218299;44,026776
7323300;32,2;56,248613;44,048243
5850000;29,7;56,27825381;44,0972248
16005360;68,05;56,30422;44,00771
12162500;69,5;56,24626431;44,04936652
11250120;68,09;56,27275;44,052807
19294212;59,2;56,31071876;44,00346057
