price;area;lat;lon
12423825;75,34;56,839656;60,61642
7699367;38,9;56,632955;60,394488
5053000;24,44;56,76583;60,52841
14548014;80,69;56,822736;60,538284
4630600;28,65;56,7712;60,52433
7156187;61,08;56,872414;60,538203
11034000;58,74;56,79563;60,52397
7510000;51,68;56,76442;60,5251
11185000;67,38;56,795972;60,528395
9141300;52,25;56,83195;60,65907
5900000;28,6;56,91923;60,61596
8921610;57,29;56,899943;60,578333
9900000;68,69;56,87615217;60,5407638
13988800;71,98;56,854524;60,583094
14343608;66,69;56,80647;60,59312
6512799;42,83;56,767522;60,67419
9273600;47,9;56,771159;60,51666
10925000;70,4;56,828613;60,52309
8200000;54,45;56,77789;60,61876
5506541;31,3;56,80001;60,50565
4530075;28,5;56,799642;60,647715
8549555;63,65;56,78986;60,49687
5166667;29,7;56,801683;60,578559
11076100;66,15;56,856315;60,66385
14474700;89,34;56,91954;60,612156
12110617;61,47;56,83907;60,66271
8438000;45,7;56,766643;60,529649
3501600;29,18;56,79087;59,8945
6424075;43,68;56,861741;60,562318
8058000;55;56,835452;60,522975
6745923;27,9;56,838866;60,662737
7164000;36,04;56,795972;60,528395
4834000;27,4;56,76442;60,5251
8577200;38,9;56,80414;60,58651
7588099;54,29;56,790401;60,490844
3940000;30,39;56,88043;60,523283
12253600;64;56,832087;60,656519
8364586;43,84;56,858399;60,659868
6317500;29,7;56,828613;60,52309
10997100;67,79;56,82337;60,54765
8250000;35,29;56,796137;60,528817
7028000;45,08;56,771337;60,50877
4809000;19,79;56,797071;60,525903
9056748;41,2;56,857103;60,613616
4420000;22,78;56,825196;60,653422
8140000;44;56,86452;60,608534
7862023;42,02;56,910599;60,614373
8448784;56,5;56,767136;60,674828
5900000;33;56,88279;60,52686
8776000;54,5;56,868311;60,628216
12681048;83,3;56,758823;60,610075
5377000;56,59;56,394803;61,919901
5119924;20,89;56,632955;60,394488
9817200;48,59;56,8636;60,66862
14726000;84,8;56,79563;60,52397
4530000;27,62;56,779874;60,617289
6359000;42,09;56,780937;60,618315
8884000;57,79;56,789727;60,601895
6564624;26,39;56,805651;60,589116
7090000;41,22;56,79312;60,52471
6768000;38,43;56,832447;60,653835
9190000;54,59;56,83774;60,69436
5339000;22,2;56,868311;60,628216
13522000;80,58;56,77853;60,51456
10690000;76,09;56,88279;60,52686
5333466;27,25;56,802975;60,555696
8156286;48,65;56,902103;60,58806
8735496;40,59;56,857103;60,613616
10470000;57,4;56,83809;60,69446
14803000;58,04;56,839656;60,61642
6494067;38,59;56,828071;60,519931
9490000;61,2;56,88043;60,523283
5918652;30,54;56,77119;60,51222
9584860;52,5;56,817988;60,531781
8339425;40,59;59,605247;60,532995
7112000;31,89;56,797126;60,525952
14771242;65;56,82901;60,5685
4300000;22,68;56,839656;60,61642
8810000;39,56;56,83479;60,63949
9193000;47,47;56,78095;60,61737
7532111;41,93;56,781681;60,615974
10219100;75,05;56,766377;60,674577
6560000;47,2;56,781707;60,602582
7497000;40,45;56,832447;60,653835
11343731;70,19;56,9023;60,58814
6469000;35,4;56,765335;60,526661
18007381;87,19;59,605247;60,532995
6063158;25,29;56,894794;60,634023
11396182,05;65,9;56,77715;60,61611
5136000;19,39;56,797071;60,525903
11644000;57,09;56,86785;60,62788
14758000;64,94;56,853935;60,595803
10160000;69,05;56,767796;60,517894
8413440;56,9;56,769733;60,671725
51535000;113,5;56,841945;60,589902
11045902;52,41;56,897764;60,631469
7419789;35,09;56,79943;60,64809
5825000;37,7;56,75976;60,57607
12974500;74,13;56,833213;60,649988
12437138;53,4;56,80568;60,595736
8148000;28,45;56,839656;60,61642
10273501;42,59;56,86772;60,63081
11270000;81,23;56,835452;60,522975
7420000;32,11;56,894785;60,635198
12224400;66,8;56,86452;60,608534
4191272;31,12;56,795573;60,762441
6460000;35,52;56,773361;60,599127
16750000;88,06;56,882891;60,627318
14726160;67,8;56,805651;60,589116
7860000;46;56,76386;60,5224
8011000;51,24;56,765335;60,526661
6603000;34,59;56,766643;60,529649
22240000;106,33;56,839656;60,61642
11625702;59,2;56,894383;60,618799
7142328;41;56,799072;60,474462
5062894;29,5;56,799642;60,647715
13515000;71,69;56,77838;60,51535
4327000;29,02;56,780937;60,618315
9407000;51;56,779349;60,507105
12520208;59,29;56,800373;60,63199
7118000;38,2;56,79563;60,52397
4190000;25,09;56,780937;60,618315
5655040;37,59;56,77677;60,51273
11024000;62,52;56,795972;60,528395
11516156;70,19;56,902103;60,58806
5250400;22,68;56,825924;60,653825
5635000;40,25;56,50238;60,82664
7125000;36,04;56,795972;60,528395
5081600;25,6;56,80413;60,64029
10486000;62,63;56,779349;60,507105
10661560;58,58;56,823658;60,540559
4813200;22,92;56,865398;60,610816
4550000;25,68;56,767796;60,517894
19448100;88,19;56,837608;60,64981
7560000;37,79;56,8636;60,66862
11672574;61;56,799072;60,474462
7585200;29,96;56,81821;60,65374
8575000;48,2;56,789727;60,601895
17414684;86,8;56,80619;60,5877
4522222;25,05;56,801683;60,578559
13200000;68,09;56,828371;60,569543
6928040;45,4;56,77677;60,51273
12780000;71,31;56,810322;60,583124
9450000;61,38;56,773361;60,599127
10781370;54,7;56,884468;60,612559
8635000;38,4;56,81449;60,6264
6631614;41,2;56,772289;60,63293
5955000;38,2;56,780937;60,618315
7059436;44,61;56,974946;60,57063
5540000;29,2;56,770868;60,527936
6900000;41,09;56,770868;60,527936
7262100;32,5;56,868311;60,628216
9830000;64,9;56,88279;60,52686
11458575;73,09;56,826448;60,52853
4528800;29,6;56,77677;60,51273
8860000;61,79;56,698509;60,478801
5129001;36,5;56,800417;60,504082
6190000;42,5;56,781707;60,602582
9440000;58,56;56,810322;60,583124
8825175;48,5;56,7592;60,60992
7471000;57,04;56,780937;60,618315
10563000;48,4;56,885502;60,612412
10070643;70,5;56,79975;60,50386
11322000;76,5;56,923723;60,615066
7266851;35,2;56,89789;60,63181
7952044;47,75;56,87342;60,53987
5533200;34,79;56,77677;60,51273
7546000;40,38;56,79563;60,52397
11183429;55,79;56,811375;60,572097
13598906;79,47;56,81449;60,547048
6150000;33,4;56,770868;60,527936
9440000;64,9;56,88043;60,523283
12458710;58,29;56,85552;60,61306
7379000;38,4;56,83469;60,6396
8408400;42,88;56,80123;60,600092
7881300;41,7;56,86452;60,608534
8204683;29,6;56,80083;60,6322
8534000;47,9;56,789727;60,601895
5662700;27,29;56,821366;60,658593
9830000;58,22;56,784661;60,643221
5980000;39,79;56,770806;60,501534
7418500;40,09;56,86452;60,608534
8426000;55;56,77677;60,51273
4370000;22,94;56,828946;60,620057
4406400;28,79;56,77677;60,51273
11516000;42,2;56,82255;60,63976
9026240;81;56,765787;60,521569
13231460;100,66;56,77105;60,52466
7174000;55,11;56,91914;60,81965
10905000;79,19;56,82146;60,53537
4721240;26,2;56,863056;60,669105
18416000;85,73;56,839656;60,61642
11056277;57,9;56,77872;60,61873
10240000;66,73;56,759631;60,568396
16154485;71,41;56,82901;60,5685
5340000;30,03;56,825196;60,653422
6261303;34,13;56,80025844;60,50480806
8058000;55;56,830218;60,559039
8398922;54,79;56,79975;60,50386
19904160;86,02;56,829025;60,568567
10770000;57,15;56,821366;60,658593
7762000;42,56;56,795972;60,528395
7790000;34,4;56,84348;60,66441
5579600;37;56,77677;60,51273
6461372;38,93;56,80001;60,50565
15111000;50,59;56,797334;60,635688
5581000;34,36;56,780937;60,618315
17864329;80,05;56,82901;60,5685
9610000;60,59;56,88279;60,52686
9700600;57,4;56,89917709;60,5777738
11220000;75,61;56,919465;60,473233
5740000;43,59;56,87398;60,538623
10240000;44,22;56,855639;60,660876
5049639;28,54;56,805298;60,58797
11539189;54,36;56,82901;60,5685
5963860;28,7;56,81164;60,6166
4950000;36,5;56,78238;60,755551
13425000;80,76;56,79248;60,52496
5240000;26,2;56,8636;60,66862
12855443;85,69;56,758823;60,610075
13086872;68,66;56,89789;60,63181
6160000;36,25;56,766643;60,529649
